trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
114	174.76133150001988	stim	2		51	surprise	0.05	-1.0	1000.0	0.9804947171720192	194.76217470003758	0.5104530999960843
115	176.26136730000144	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	196.26221050001914	0.5010008000244852
116	177.7614316000254	stim	2		51	surprise	0.05	-1.0	1000.0	0.9804947171720192	197.7622748000431	0.5093748999934178
117	179.2615410000144	stim	2		51	surprise	0.05	-1.0	1000.0	0.9804947171720192	199.2623842000321	0.5093774999841116
118	180.7707180000143	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	200.771561200032	0.49985449999803677
119	182.26211810001405	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	202.26296130003175	0.4992985999851953
120	183.76203720000922	stim	2		50	surprise	0.05	1.0	2000.0	1.0	203.76288040002692	0.5000610999995843
121	185.261473200022	stim	2		50	surprise	0.05	1.0	2000.0	1.0	205.2623164000397	0.49986559999524616
122	186.76110420000623	stim	2		50	surprise	0.05	1.0	2000.0	1.0	206.76194740002393	0.5003348000172991
123	188.26111079999828	stim	2		50	surprise	0.05	1.0	2000.0	1.0	208.26195400001598	0.5000376000243705
124	189.7621125000005	stim	2		50	surprise	0.05	1.0	2000.0	1.0	209.7629557000182	0.49851940001826733
125	191.2609038000228	stim	2		50	surprise	0.05	1.0	2000.0	1.0	211.2617470000405	0.5018515999836382
126	192.76172570002382	stim	2		50	surprise	0.05	1.0	2000.0	1.0	212.76256890004152	0.5005283999780659
127	194.2621199999994	stim	2		50	surprise	0.05	1.0	2000.0	1.0	214.2629632000171	0.4999690000258852
128	195.76183870001114	stim	2		50	surprise	0.05	1.0	2000.0	1.0	215.76268190002884	0.5006853000086267
129	197.26227020000806	stim	2		50	surprise	0.05	1.0	2000.0	1.0	217.26311340002576	0.5001807000080589
130	198.76233670001966	stim	2		50	surprise	0.05	1.0	2000.0	1.0	218.76317990003736	0.49979119998170063
131	200.26297370000975	stim	2		50	surprise	0.05	1.0	2000.0	1.0	220.26381690002745	0.4991961999912746
132	201.76127000001725	stim	2		50	surprise	0.05	1.0	2000.0	1.0	221.76211320003495	0.49999129999196157
133	203.26125750000938	stim	2		50	surprise	0.05	1.0	2000.0	1.0	223.26210070002708	0.5002592999953777
134	204.76196460000938	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	224.76280780002708	0.49986740000895225
135	206.26178650002112	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	226.26262970003881	0.49974810000276193
136	207.7617441000184	stim	2		50	surprise	0.05	1.0	2000.0	1.0	227.7625873000361	0.4998539999942295
137	209.26240770000732	stim	2		50	surprise	0.05	1.0	2000.0	1.0	229.263250900025	0.49989629999618046
138	210.76227430001018	stim	2		50	surprise	0.05	1.0	2000.0	1.0	230.76311750002787	0.5002390000154264
139	212.26234700001078	stim	2		50	surprise	0.05	1.0	2000.0	1.0	232.26319020002848	0.49996839999221265
140	213.76251550001325	stim	2		50	surprise	0.05	1.0	2000.0	1.0	233.76335870003095	0.49982629998703487
141	215.26244050002424	stim	2		50	surprise	0.05	1.0	2000.0	1.0	235.26328370004194	0.4997725999855902
142	216.7631128000212	stim	2		50	surprise	0.05	1.0	2000.0	1.0	236.7639560000389	0.4996769999852404
143	218.26291650001076	stim	2		50	surprise	0.05	1.0	2000.0	1.0	238.26375970002846	0.49894710001535714
144	219.7620812000241	stim	2		50	surprise	0.05	1.0	2000.0	1.0	239.7629244000418	0.5000778999819886
145	221.26204120001057	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	241.26288440002827	0.5002631999959704
